"filename", "language", "Python", "pip requirements", "Makefile", "Ini", "Markdown", "JSON", "comment", "blank", "total"
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\README.md", "Markdown", 0, 0, 0, 0, 53, 0, 0, 14, 67
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\app.py", "Python", 26, 0, 0, 0, 0, 0, 3, 8, 37
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\backend\controllers\__init__.py", "Python", 10, 0, 0, 0, 0, 0, 2, 3, 15
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\backend\controllers\base_controller.py", "Python", 11, 0, 0, 0, 0, 0, 1, 3, 15
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\backend\controllers\order_controller.py", "Python", 99, 0, 0, 0, 0, 0, 4, 27, 130
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\backend\controllers\product_controller.py", "Python", 57, 0, 0, 0, 0, 0, 0, 13, 70
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\backend\controllers\table_controller.py", "Python", 44, 0, 0, 0, 0, 0, 0, 11, 55
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\backend\controllers\user_controller.py", "Python", 90, 0, 0, 0, 0, 0, 2, 21, 113
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\backend\data\users.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\backend\models\enums.py", "Python", 18, 0, 0, 0, 0, 0, 0, 4, 22
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\backend\models\models.py", "Python", 86, 0, 0, 0, 0, 0, 0, 22, 108
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\backend\services\order_service.py", "Python", 261, 0, 0, 0, 0, 0, 5, 51, 317
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\backend\services\product_service.py", "Python", 64, 0, 0, 0, 0, 0, 0, 10, 74
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\backend\services\table_service.py", "Python", 82, 0, 0, 0, 0, 0, 1, 15, 98
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\backend\services\user_service.py", "Python", 135, 0, 0, 0, 0, 0, 7, 41, 183
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\config.py", "Python", 0, 0, 0, 0, 0, 0, 15, 6, 21
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\create_admin.py", "Python", 16, 0, 0, 0, 0, 0, 1, 2, 19
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\main.py", "Python", 9, 0, 0, 0, 0, 0, 3, 3, 15
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\utils\.pylintrc", "Ini", 0, 0, 0, 9, 0, 0, 3, 3, 15
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\utils\Makefile", "Makefile", 0, 0, 6, 0, 0, 0, 0, 3, 9
"d:\Arquivos\UnB\4º Semestre (26.1)\MDS\2026.1-T03-Dijkstra\nexus_gourmet\utils\requirements.txt", "pip requirements", 0, 6, 0, 0, 0, 0, 0, 0, 6
"Total", "-", 1008, 6, 6, 9, 53, 0, 47, 261, 1390
